family_id,child_id,word_id_nr,word_id,word_hash,word_type_id,name,form,version,meaning,language,KEY-MEANING,NAME,HOMONYM,OVER-EXTENSION,CODER
281,673,1985,dLtkktiNe8kLRDqIlrS3-,CidJdBL4VanfX9GA4fBn8,1,WORD,Nu nu,0,Lody,polski,ICE-CREAM,,,,JB
281,673,1995,uTIUwrQ57zg616W4Jxkmx,-ZKZQ2GEpdg-4lR_cCwhV,1,WORD,Pa,0,"Pan, pani",polski,MAN,,,1,US
281,673,1995,uTIUwrQ57zg616W4Jxkmx,-ZKZQ2GEpdg-4lR_cCwhV,1,WORD,Pa,0,"Pan, pani",polski,WOMAN,,,1,US
281,673,1998,HeQDcz_8Fk54k9bVS5qVu,yr2DJgWkHrKIMiFnA4iVJ,1,WORD,Pf,0,Kupa,polski,POOP,,,,JB
281,673,1999,GS0mNoL9QEeq4H1TDekGZ,cKVWj86_CKMewXsCS0OO-,1,WORD,Si,0,Sikać ,polski,PEE,,,,JS
281,673,1994,BJsiGIW6X2OfWuBV8wCwh,fuqYRLk9MsxLBssD__wZK,1,WORD,Siup,0,Pić ,polski,DRINK,,,,US
281,673,1988,CV91OXsWOIm0r9fkTT7Gc,cFVEA6QpXQJZKzKaRSjh6,1,WORD,Sssss,0,Wąż ,polski,SNAKE,,,,AS(AW)
281,673,1992,5am-RdfW3vCGuOn0d1TqF,mNAaX2uggkOZzlVWHMY0a,1,WORD,Ti ta,0,Zegar,polski,CLOCK,,,,AS(AW)
281,673,2096,r0akw8kNW_RDWjhiiKX0C,py7dA8ztMPo8S0mIQstkR,1,WORD,Ał,0,"Rana, boli, uderzyć się ",polski,HIT,,,1,JS
281,673,2096,r0akw8kNW_RDWjhiiKX0C,py7dA8ztMPo8S0mIQstkR,1,WORD,Ał,0,"Rana, boli, uderzyć się ",polski,HURTS,,,1,JS
281,673,2096,r0akw8kNW_RDWjhiiKX0C,py7dA8ztMPo8S0mIQstkR,1,WORD,Ał,0,"Rana, boli, uderzyć się ",polski,WOUND,,,1,JS
281,673,2101,yclZ3tTHXOCCzQKaF-Jgp,Tg9FkZAtTitGVnfi_8Vcv,1,WORD,Bam bam,0,"Klocki, bębenek ",polski,BLOCKS,,,1,JB
281,673,2101,yclZ3tTHXOCCzQKaF-Jgp,Tg9FkZAtTitGVnfi_8Vcv,1,WORD,Bam bam,0,"Klocki, bębenek ",polski,DRUM,,,1,JB
281,673,2099,WiJoMgwREvr0jMzRJk6u6,LAd7zmreTahgjBmwid2D4,1,WORD,Ci,0,Ja (Józek) ,polski,SELF,,,,US
281,673,2097,Z7sATyUwzWpzNgYuPXlwJ,bGjceLO1gIfH9zq76M2jp,1,WORD,Ciii,0,Cicho,polski,QUIET,,,,JB
281,673,2102,VTp57R0gQYo9MCYVCXYJy,ISbekdA-Ze6m9BGyqN4Li,1,WORD,Gę gę,0,Gęś ,polski,GOOSE,,,,US
281,673,2103,DLNgqxvuzl5hAOOj0Xs7x,PQnPrZVahYZNBEJAFSrZs,1,WORD,Ooooo,0,Zdziwienie ,polski,EXCLAMATION,,,,AS(AW)
281,673,2115,1vZ4VP5vsATHGnAWsUrAV,anRPhKH4GdgbDtwYQ9URB,1,WORD,Gru gru,0,Gołąb ,polski,DOVE,,,,US
281,673,2116,zxNeipPWY6Ch0B0gPVPwA,0C4auVcDcaR5C8drPONm9,1,WORD,Gyl gyl,0,Gilgotki ,polski,TICKLING,,,,US
281,673,2114,NGPPKR8d350mEWphhm-R_,hCFTByjH-oS3V7HnFAoQ4,1,WORD,Kra kra,0,Wrona,polski,CROW,,,,AS(AW)
281,673,2118,k2Rw4eguhSFPmQyyOax5_,1QL8FgqJyJmwDIK8vH1JY,1,WORD,Ne,0,Nie,polski,NO,,,,JB
281,673,2117,uqKrtdBZLR91CB8LhAN__,bm3VlJegYId65I8d3fuFX,1,WORD,Ta,0,Tak,polski,YES,,,,JS
281,673,2113,68YPstARAjTv9Maj9p9YX,2MVbgTK9gJ1_a2VQSozxw,1,WORD,Tyr tyr,0,Traktor ,polski,TRACTOR,,,,JS
281,673,2150,LF6NSFJBHjnZyWIfRW3fU,3tmZyJZGSEJ0AfFS3ch8o,1,WORD,Cia,0,Kroić ,polski,CUT,,,,JB
281,673,2151,n409TQq3TfpUTAnLKGt_d,aB-c-J4wwWysk1oMfflFN,1,WORD,Ziu,0,Latać ,polski,FLYING,,,,JB
281,673,2152,zPaMmz3XSN6gEcU-o4NZ6,cc8odFBFAJE6klDYUoT1T,1,WORD,Ciiiiii,0,"Ciepłe, gorące ",polski,HOT,,,1,JB
281,673,2152,zPaMmz3XSN6gEcU-o4NZ6,cc8odFBFAJE6klDYUoT1T,1,WORD,Ciiiiii,0,"Ciepłe, gorące ",polski,WARM,,,1,JB
281,673,2154,c_g73IGV_7kbhkQEUB6ub,A22YKG63N2R5dWVAGS2c3,1,WORD,Łała,0,Jaja,polski,EGG,,,,US
281,673,2378,uQvCEggzqomTDCDogRrxG,HwZeLfiA41uvMy806iWLS,2,NEOLOGISM,Bziu bziu,0,Brak,polski,NA,,,,JB
281,673,2440,xiKe1c0_BW2ecd99LzJ4E,r_osdj3_iCi07otp_VlgS,1,WORD,Bum,0,"Wybuch, petarda",polski,FIREWORKS,,,,AS(AW)
281,673,2452,WO-u-Oy8nARisIA9ENi3H,pcpLt8S82V2fci0AWpRHy,1,WORD,Daba,0,Brak ,polski,NA,,,,JB
281,673,2572,yvBy1rttfQJ8jmTh1UgCZ,oG6593zcGBBt47DFZdBCa,2,NEOLOGISM,Bama,0,Brak,polski,NA,,,,JB
281,673,2573,FutkcMvbmAVHuMoorwI74,ZvEMAyFetA9zYHHb__Cst,1,WORD,Badada,0,Bandyta,polski,BANDIT,,,,JB
281,673,2574,YwlhmU99TEzgagg2AjTWD,wupiw1KdDR8PtdsnkDVoe,2,NEOLOGISM,Diba,0,Brak,polski,NA,,,,JB
